Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
05/09/2024,1,6.2TD,P6,105.00,0.92,0.98,0.000,0.161,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240905
05/09/2024,2,6.2TD,P6,105.70,1.07,1.03,0.000,0.168,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240905
05/09/2024,3,6.2TD,P6,99.35,1.39,1.07,0.000,0.173,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240905
05/09/2024,4,6.2TD,P6,99.41,1.43,0.00,0.000,0.174,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240905
05/09/2024,5,6.2TD,P6,96.00,1.62,0.00,0.000,0.173,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240905
05/09/2024,6,6.2TD,P6,100.00,2.36,0.00,0.000,0.169,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240905
05/09/2024,7,6.2TD,P6,118.06,0.66,1.03,0.000,0.158,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240905
05/09/2024,8,6.2TD,P6,124.90,0.81,0.94,0.000,0.151,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240905
05/09/2024,9,6.2TD,P2,125.00,2.77,0.89,0.154,0.151,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240905
05/09/2024,10,6.2TD,P2,113.42,1.73,0.86,0.154,0.140,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240905
05/09/2024,11,6.2TD,P1,92.50,4.93,0.83,0.926,0.139,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240905
05/09/2024,12,6.2TD,P1,84.81,2.52,0.82,0.926,0.142,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240905
05/09/2024,13,6.2TD,P1,84.81,2.08,0.81,0.926,0.141,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240905
05/09/2024,14,6.2TD,P1,84.81,2.53,0.80,0.926,0.139,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240905
05/09/2024,15,6.2TD,P2,84.68,2.84,0.80,0.154,0.141,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240905
05/09/2024,16,6.2TD,P2,81.18,2.70,0.82,0.154,0.143,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240905
05/09/2024,17,6.2TD,P2,84.55,2.76,0.84,0.154,0.144,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240905
05/09/2024,18,6.2TD,P2,87.87,3.13,0.84,0.154,0.148,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240905
05/09/2024,19,6.2TD,P1,105.70,5.35,0.85,0.926,0.155,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240905
05/09/2024,20,6.2TD,P1,118.22,1.41,0.86,0.926,0.161,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240905
05/09/2024,21,6.2TD,P1,129.70,1.92,0.85,0.926,0.150,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240905
05/09/2024,22,6.2TD,P1,134.00,0.43,0.84,0.926,0.146,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240905
05/09/2024,23,6.2TD,P2,124.90,0.57,0.90,0.154,0.151,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240905
05/09/2024,24,6.2TD,P2,118.22,0.89,0.97,0.154,0.158,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240905
