Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
01/12/2024,1,6.2TD,P6,122.90,1.97,1.14,0.000,0.246,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,2,6.2TD,P6,110.50,2.25,0.00,0.000,0.255,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,3,6.2TD,P6,105.99,2.56,0.00,0.000,0.265,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,4,6.2TD,P6,105.99,2.63,0.00,0.000,0.270,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,5,6.2TD,P6,105.78,2.64,0.00,0.000,0.272,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,6,6.2TD,P6,105.99,2.59,0.00,0.000,0.269,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,7,6.2TD,P6,110.20,2.59,0.00,0.000,0.262,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,8,6.2TD,P6,119.78,1.84,0.00,0.000,0.249,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,9,6.2TD,P6,130.00,8.67,0.00,0.000,0.241,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,10,6.2TD,P6,121.40,14.76,0.00,0.000,0.219,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,11,6.2TD,P6,106.66,14.93,0.00,0.000,0.197,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,12,6.2TD,P6,105.99,2.84,0.00,0.000,0.191,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,13,6.2TD,P6,105.53,2.72,0.00,0.000,0.188,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,14,6.2TD,P6,112.00,2.42,0.00,0.000,0.184,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,15,6.2TD,P6,130.00,2.67,0.00,0.000,0.188,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,16,6.2TD,P6,134.19,9.70,0.00,0.000,0.204,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,17,6.2TD,P6,141.14,9.30,0.00,0.000,0.212,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,18,6.2TD,P6,149.70,10.53,0.00,0.000,0.221,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,19,6.2TD,P6,153.02,1.70,0.00,0.000,0.223,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,20,6.2TD,P6,163.70,1.45,0.00,0.000,0.229,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,21,6.2TD,P6,175.20,1.99,0.00,0.000,0.230,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,22,6.2TD,P6,145.20,1.11,1.14,0.000,0.227,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,23,6.2TD,P6,142.30,1.43,1.22,0.000,0.229,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
01/12/2024,24,6.2TD,P6,133.21,1.99,1.34,0.000,0.236,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241201
