Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
11/12/2024,1,6.2TD,P6,129.00,1.70,0.96,0.000,0.243,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241211
11/12/2024,2,6.2TD,P6,114.49,2.40,1.03,0.000,0.252,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241211
11/12/2024,3,6.2TD,P6,114.49,2.82,1.08,0.000,0.260,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241211
11/12/2024,4,6.2TD,P6,113.05,2.99,0.00,0.000,0.263,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241211
11/12/2024,5,6.2TD,P6,113.12,2.99,0.00,0.000,0.265,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241211
11/12/2024,6,6.2TD,P6,114.16,2.53,0.00,0.000,0.256,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241211
11/12/2024,7,6.2TD,P6,123.45,3.08,0.96,0.000,0.231,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241211
11/12/2024,8,6.2TD,P6,155.64,2.79,0.83,0.000,0.209,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241211
11/12/2024,9,6.2TD,P2,165.50,3.25,0.77,0.154,0.195,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241211
11/12/2024,10,6.2TD,P2,157.50,2.87,0.75,0.154,0.189,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241211
11/12/2024,11,6.2TD,P1,139.50,2.13,0.76,0.926,0.181,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241211
11/12/2024,12,6.2TD,P1,125.00,1.77,0.76,0.926,0.178,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241211
11/12/2024,13,6.2TD,P1,119.31,1.77,0.76,0.926,0.177,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241211
11/12/2024,14,6.2TD,P1,121.60,1.97,0.76,0.926,0.176,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241211
11/12/2024,15,6.2TD,P2,130.00,1.62,0.76,0.154,0.176,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241211
11/12/2024,16,6.2TD,P2,134.76,3.33,0.77,0.154,0.182,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241211
11/12/2024,17,6.2TD,P2,141.00,2.76,0.78,0.154,0.186,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241211
11/12/2024,18,6.2TD,P2,158.66,2.73,0.76,0.154,0.195,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241211
11/12/2024,19,6.2TD,P1,167.62,1.28,0.72,0.926,0.205,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241211
11/12/2024,20,6.2TD,P1,170.00,0.99,0.71,0.926,0.207,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241211
11/12/2024,21,6.2TD,P1,179.07,0.90,0.71,0.926,0.211,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241211
11/12/2024,22,6.2TD,P1,165.20,1.06,0.73,0.926,0.216,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241211
11/12/2024,23,6.2TD,P2,150.00,0.87,0.80,0.154,0.221,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241211
11/12/2024,24,6.2TD,P2,136.10,1.50,0.88,0.154,0.230,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241211
