Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
26/10/2024,1,6.2TD,P6,67.82,1.70,1.11,0.000,0.187,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,2,6.2TD,P6,56.29,2.01,1.16,0.000,0.193,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,3,6.2TD,P6,50.00,2.51,1.22,0.000,0.199,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,4,6.2TD,P6,42.76,3.04,0.00,0.000,0.203,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,5,6.2TD,P6,42.90,2.86,0.00,0.000,0.205,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,6,6.2TD,P6,41.94,2.75,0.00,0.000,0.202,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,7,6.2TD,P6,50.10,2.68,0.00,0.000,0.198,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,8,6.2TD,P6,56.50,3.06,0.00,0.000,0.187,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,9,6.2TD,P6,57.82,2.82,0.00,0.000,0.176,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,10,6.2TD,P6,65.56,9.41,0.00,0.000,0.158,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,11,6.2TD,P6,56.08,3.58,0.00,0.000,0.144,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,12,6.2TD,P6,44.99,3.58,0.00,0.000,0.140,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,13,6.2TD,P6,25.10,1.91,0.00,0.000,0.138,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,14,6.2TD,P6,25.10,1.58,0.00,0.000,0.135,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,15,6.2TD,P6,16.41,1.30,0.00,0.000,0.136,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,16,6.2TD,P6,5.01,0.82,0.00,0.000,0.146,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,17,6.2TD,P6,5.01,0.85,0.00,0.000,0.155,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,18,6.2TD,P6,40.00,4.81,0.00,0.000,0.161,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,19,6.2TD,P6,57.40,7.19,0.00,0.000,0.171,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,20,6.2TD,P6,90.98,5.41,0.00,0.000,0.177,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,21,6.2TD,P6,83.30,2.16,0.00,0.000,0.178,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,22,6.2TD,P6,66.25,2.43,0.96,0.000,0.179,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,23,6.2TD,P6,68.22,2.56,1.05,0.000,0.184,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
26/10/2024,24,6.2TD,P6,75.00,3.77,1.14,0.000,0.190,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241026
