Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
14/04/2024,1,6.2TD,P6,5.79,1.78,1.13,0.000,0.212,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,2,6.2TD,P6,2.74,2.73,0.00,0.000,0.217,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,3,6.2TD,P6,1.69,3.49,0.00,0.000,0.222,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,4,6.2TD,P6,1.51,3.55,0.00,0.000,0.224,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,5,6.2TD,P6,3.25,3.54,0.00,0.000,0.224,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,6,6.2TD,P6,6.35,2.69,0.00,0.000,0.223,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,7,6.2TD,P6,12.86,1.80,0.00,0.000,0.218,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,8,6.2TD,P6,13.00,2.05,0.00,0.000,0.212,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,9,6.2TD,P6,5.60,3.73,0.00,0.000,0.192,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,10,6.2TD,P6,0.00,3.96,0.00,0.000,0.172,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,11,6.2TD,P6,-0.53,3.49,0.00,0.000,0.159,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,12,6.2TD,P6,-1.00,2.61,0.00,0.000,0.152,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,13,6.2TD,P6,-1.00,2.61,0.00,0.000,0.150,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,14,6.2TD,P6,-1.00,2.62,0.00,0.000,0.145,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,15,6.2TD,P6,-1.00,2.65,0.00,0.000,0.146,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,16,6.2TD,P6,-1.01,2.66,0.00,0.000,0.153,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,17,6.2TD,P6,-1.01,2.84,0.00,0.000,0.161,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,18,6.2TD,P6,-0.25,3.91,0.00,0.000,0.169,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,19,6.2TD,P6,-0.02,3.48,0.00,0.000,0.178,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,20,6.2TD,P6,2.50,3.61,0.00,0.000,0.186,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,21,6.2TD,P6,18.41,0.33,0.00,0.000,0.188,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,22,6.2TD,P6,30.77,0.30,0.95,0.000,0.184,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,23,6.2TD,P6,19.72,0.18,1.00,0.000,0.187,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
14/04/2024,24,6.2TD,P6,17.00,0.66,1.08,0.000,0.194,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240414
