Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
31/01/2024,1,6.2TD,P6,90.573,3.98,0.79,0.000,0.239,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240131
31/01/2024,2,6.2TD,P6,89.293,5.32,0.81,0.000,0.247,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240131
31/01/2024,3,6.2TD,P6,89.293,5.96,0.83,0.000,0.253,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240131
31/01/2024,4,6.2TD,P6,88.319,7.26,0.86,0.000,0.256,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240131
31/01/2024,5,6.2TD,P6,87.801,7.31,0.87,0.000,0.254,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240131
31/01/2024,6,6.2TD,P6,91.943,6.78,0.84,0.000,0.247,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240131
31/01/2024,7,6.2TD,P6,100.694,4.40,0.75,0.000,0.227,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240131
31/01/2024,8,6.2TD,P6,107.395,1.61,0.67,0.000,0.212,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240131
31/01/2024,9,6.2TD,P2,133.901,0.28,1.04,0.178,0.198,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240131
31/01/2024,10,6.2TD,P2,106.703,0.90,0.64,0.178,0.189,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240131
31/01/2024,11,6.2TD,P1,97.667,1.41,0.84,1.068,0.181,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240131
31/01/2024,12,6.2TD,P1,87.038,1.64,0.75,1.068,0.180,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240131
31/01/2024,13,6.2TD,P1,85.058,1.85,0.67,1.068,0.177,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240131
31/01/2024,14,6.2TD,P1,81.637,1.96,0.68,1.068,0.175,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240131
31/01/2024,15,6.2TD,P2,79.982,1.88,0.72,0.178,0.175,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240131
31/01/2024,16,6.2TD,P2,79.261,1.79,0.94,0.178,0.182,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240131
31/01/2024,17,6.2TD,P2,80.449,1.76,0.83,0.178,0.187,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240131
31/01/2024,18,6.2TD,P2,90.997,1.24,1.00,0.178,0.192,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240131
31/01/2024,19,6.2TD,P1,105.098,0.81,0.56,1.068,0.196,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240131
31/01/2024,20,6.2TD,P1,133.728,0.28,0.85,1.068,0.199,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240131
31/01/2024,21,6.2TD,P1,183.555,-0.67,1.92,1.068,0.201,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240131
31/01/2024,22,6.2TD,P1,108.398,0.63,0.45,1.068,0.203,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240131
31/01/2024,23,6.2TD,P2,98.337,0.89,0.58,0.178,0.208,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240131
31/01/2024,24,6.2TD,P2,91.789,1.15,1.23,0.178,0.215,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240131
