Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
05/03/2024,1,6.2TD,P6,33.396,4.43,1.15,0.000,0.205,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240305
05/03/2024,2,6.2TD,P6,33.081,5.58,2.31,0.000,0.210,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240305
05/03/2024,3,6.2TD,P6,35.274,8.08,1.91,0.000,0.215,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240305
05/03/2024,4,6.2TD,P6,35.142,8.24,2.41,0.000,0.218,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240305
05/03/2024,5,6.2TD,P6,36.198,8.20,2.50,0.000,0.217,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240305
05/03/2024,6,6.2TD,P6,37.751,7.94,2.03,0.000,0.217,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240305
05/03/2024,7,6.2TD,P6,51.589,4.95,1.64,0.000,0.203,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240305
05/03/2024,8,6.2TD,P6,74.371,2.04,0.97,0.000,0.189,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240305
05/03/2024,9,6.2TD,P2,86.903,1.75,2.29,0.154,0.180,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240305
05/03/2024,10,6.2TD,P2,43.430,4.13,1.30,0.154,0.162,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240305
05/03/2024,11,6.2TD,P1,35.839,4.99,1.90,0.926,0.165,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240305
05/03/2024,12,6.2TD,P1,31.950,5.40,0.89,0.926,0.168,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240305
05/03/2024,13,6.2TD,P1,31.707,5.73,0.94,0.926,0.166,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240305
05/03/2024,14,6.2TD,P1,31.422,5.52,1.04,0.926,0.164,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240305
05/03/2024,15,6.2TD,P2,30.710,5.59,1.05,0.154,0.170,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240305
05/03/2024,16,6.2TD,P2,31.522,5.70,1.62,0.154,0.177,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240305
05/03/2024,17,6.2TD,P2,33.481,5.40,2.04,0.154,0.184,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240305
05/03/2024,18,6.2TD,P2,43.227,4.11,1.88,0.154,0.185,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240305
05/03/2024,19,6.2TD,P1,74.559,1.36,0.88,0.926,0.171,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240305
05/03/2024,20,6.2TD,P1,149.361,0.03,1.20,0.926,0.171,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240305
05/03/2024,21,6.2TD,P1,153.392,-0.05,1.25,0.926,0.174,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240305
05/03/2024,22,6.2TD,P1,122.336,0.33,0.66,0.926,0.175,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240305
05/03/2024,23,6.2TD,P2,107.765,0.54,0.49,0.154,0.189,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240305
05/03/2024,24,6.2TD,P2,95.065,0.79,0.20,0.154,0.196,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240305
