Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
02/07/2024,1,6.2TD,P6,65.53,1.96,1.02,0.000,0.166,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240702
02/07/2024,2,6.2TD,P6,49.90,3.32,1.07,0.000,0.166,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240702
02/07/2024,3,6.2TD,P6,39.69,4.23,1.10,0.000,0.167,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240702
02/07/2024,4,6.2TD,P6,38.01,4.99,0.00,0.000,0.167,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240702
02/07/2024,5,6.2TD,P6,37.75,5.02,0.00,0.000,0.167,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240702
02/07/2024,6,6.2TD,P6,41.07,4.95,0.00,0.000,0.166,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240702
02/07/2024,7,6.2TD,P6,55.00,3.18,1.03,0.000,0.161,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240702
02/07/2024,8,6.2TD,P6,81.82,6.35,0.95,0.000,0.159,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240702
02/07/2024,9,6.2TD,P2,61.66,4.56,0.89,0.154,0.140,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240702
02/07/2024,10,6.2TD,P2,45.00,4.02,0.86,0.154,0.139,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240702
02/07/2024,11,6.2TD,P1,35.00,1.13,0.85,0.926,0.147,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240702
02/07/2024,12,6.2TD,P1,30.90,1.11,0.84,0.926,0.149,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240702
02/07/2024,13,6.2TD,P1,26.79,1.03,0.83,0.926,0.150,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240702
02/07/2024,14,6.2TD,P1,24.99,0.79,0.82,0.926,0.147,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240702
02/07/2024,15,6.2TD,P2,17.95,0.64,0.82,0.154,0.147,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240702
02/07/2024,16,6.2TD,P2,4.00,0.23,0.84,0.154,0.145,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240702
02/07/2024,17,6.2TD,P2,4.00,0.24,0.85,0.154,0.147,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240702
02/07/2024,18,6.2TD,P2,10.96,0.46,0.85,0.154,0.149,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240702
02/07/2024,19,6.2TD,P1,35.00,2.32,0.86,0.926,0.149,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240702
02/07/2024,20,6.2TD,P1,37.75,3.91,0.85,0.926,0.152,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240702
02/07/2024,21,6.2TD,P1,74.64,3.64,0.84,0.926,0.152,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240702
02/07/2024,22,6.2TD,P1,110.41,0.21,0.85,0.926,0.151,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240702
02/07/2024,23,6.2TD,P2,109.45,0.22,0.89,0.154,0.157,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240702
02/07/2024,24,6.2TD,P2,89.99,0.55,0.96,0.154,0.156,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240702
