Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
20/02/2024,1,6.2TD,P6,68.202,6.33,1.12,0.000,0.229,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240220
20/02/2024,2,6.2TD,P6,67.542,7.32,1.24,0.000,0.240,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240220
20/02/2024,3,6.2TD,P6,65.725,7.91,2.15,0.000,0.244,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240220
20/02/2024,4,6.2TD,P6,64.852,9.03,2.21,0.000,0.248,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240220
20/02/2024,5,6.2TD,P6,65.847,8.99,2.19,0.000,0.246,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240220
20/02/2024,6,6.2TD,P6,67.238,8.81,1.30,0.000,0.240,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240220
20/02/2024,7,6.2TD,P6,73.238,7.33,0.84,0.000,0.221,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240220
20/02/2024,8,6.2TD,P6,82.507,3.69,0.29,0.000,0.209,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240220
20/02/2024,9,6.2TD,P2,77.059,2.43,0.76,0.154,0.197,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240220
20/02/2024,10,6.2TD,P2,69.678,3.85,0.66,0.154,0.191,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240220
20/02/2024,11,6.2TD,P1,55.690,3.81,1.54,0.926,0.187,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240220
20/02/2024,12,6.2TD,P1,50.168,3.72,0.04,0.926,0.191,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240220
20/02/2024,13,6.2TD,P1,50.756,3.99,0.03,0.926,0.185,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240220
20/02/2024,14,6.2TD,P1,50.645,3.81,0.03,0.926,0.183,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240220
20/02/2024,15,6.2TD,P2,49.770,3.86,0.04,0.154,0.185,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240220
20/02/2024,16,6.2TD,P2,53.242,4.15,2.06,0.154,0.190,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240220
20/02/2024,17,6.2TD,P2,54.277,3.86,2.18,0.154,0.191,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240220
20/02/2024,18,6.2TD,P2,66.145,3.20,2.11,0.154,0.193,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240220
20/02/2024,19,6.2TD,P1,93.690,2.25,0.29,0.926,0.191,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240220
20/02/2024,20,6.2TD,P1,97.061,2.98,0.26,0.926,0.195,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240220
20/02/2024,21,6.2TD,P1,202.046,0.08,2.07,0.926,0.195,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240220
20/02/2024,22,6.2TD,P1,141.152,1.85,1.75,0.926,0.194,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240220
20/02/2024,23,6.2TD,P2,84.450,3.13,0.40,0.154,0.199,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240220
20/02/2024,24,6.2TD,P2,75.678,2.38,0.76,0.154,0.205,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240220
