Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
14/06/2024,1,6.2TD,P6,78.86,1.29,1.06,0.000,0.171,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240614
14/06/2024,2,6.2TD,P6,76.44,1.38,1.11,0.000,0.171,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240614
14/06/2024,3,6.2TD,P6,75.72,1.52,1.16,0.000,0.172,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240614
14/06/2024,4,6.2TD,P6,75.30,1.52,0.00,0.000,0.169,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240614
14/06/2024,5,6.2TD,P6,75.72,1.51,0.00,0.000,0.168,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240614
14/06/2024,6,6.2TD,P6,78.02,1.36,0.00,0.000,0.167,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240614
14/06/2024,7,6.2TD,P6,79.10,1.19,1.06,0.000,0.161,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240614
14/06/2024,8,6.2TD,P6,90.00,10.58,0.96,0.000,0.160,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240614
14/06/2024,9,6.2TD,P2,79.34,5.32,0.91,0.154,0.147,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240614
14/06/2024,10,6.2TD,P2,45.91,4.03,0.88,0.154,0.140,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240614
14/06/2024,11,6.2TD,P1,35.01,1.78,0.88,0.926,0.146,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240614
14/06/2024,12,6.2TD,P1,12.21,0.91,0.88,0.926,0.148,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240614
14/06/2024,13,6.2TD,P1,3.25,0.43,0.87,0.926,0.147,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240614
14/06/2024,14,6.2TD,P1,0.44,0.42,0.87,0.926,0.143,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240614
14/06/2024,15,6.2TD,P2,0.02,0.36,0.89,0.154,0.143,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240614
14/06/2024,16,6.2TD,P2,0.00,0.34,0.91,0.154,0.145,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240614
14/06/2024,17,6.2TD,P2,0.00,0.35,0.92,0.154,0.147,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240614
14/06/2024,18,6.2TD,P2,0.00,0.34,0.92,0.154,0.148,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240614
14/06/2024,19,6.2TD,P1,0.96,0.77,0.92,0.926,0.148,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240614
14/06/2024,20,6.2TD,P1,7.00,3.19,0.89,0.926,0.153,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240614
14/06/2024,21,6.2TD,P1,35.02,4.33,0.89,0.926,0.160,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240614
14/06/2024,22,6.2TD,P1,75.72,0.99,0.90,0.926,0.160,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240614
14/06/2024,23,6.2TD,P2,76.44,1.00,0.94,0.154,0.165,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240614
14/06/2024,24,6.2TD,P2,49.36,2.09,1.00,0.154,0.164,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240614
