Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
03/09/2024,1,6.2TD,P6,124.90,0.28,0.96,0.000,0.164,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240903
03/09/2024,2,6.2TD,P6,122.29,0.14,1.01,0.000,0.172,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240903
03/09/2024,3,6.2TD,P6,114.51,0.14,1.05,0.000,0.178,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240903
03/09/2024,4,6.2TD,P6,108.00,0.16,0.00,0.000,0.180,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240903
03/09/2024,5,6.2TD,P6,105.00,0.15,0.00,0.000,0.180,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240903
03/09/2024,6,6.2TD,P6,106.21,0.15,0.00,0.000,0.175,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240903
03/09/2024,7,6.2TD,P6,115.74,0.14,1.00,0.000,0.160,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240903
03/09/2024,8,6.2TD,P6,125.00,0.14,0.92,0.000,0.147,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240903
03/09/2024,9,6.2TD,P2,133.95,2.18,0.89,0.154,0.147,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240903
03/09/2024,10,6.2TD,P2,115.98,5.05,0.85,0.154,0.138,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240903
03/09/2024,11,6.2TD,P1,98.88,4.74,0.82,0.926,0.141,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240903
03/09/2024,12,6.2TD,P1,90.02,1.01,0.82,0.926,0.143,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240903
03/09/2024,13,6.2TD,P1,85.00,1.09,0.80,0.926,0.140,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240903
03/09/2024,14,6.2TD,P1,83.08,1.08,0.78,0.926,0.135,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240903
03/09/2024,15,6.2TD,P2,84.68,1.10,0.78,0.154,0.134,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240903
03/09/2024,16,6.2TD,P2,87.20,1.40,0.80,0.154,0.141,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240903
03/09/2024,17,6.2TD,P2,86.08,1.24,0.81,0.154,0.146,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240903
03/09/2024,18,6.2TD,P2,90.49,1.70,0.80,0.154,0.149,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240903
03/09/2024,19,6.2TD,P1,101.92,3.09,0.80,0.926,0.149,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240903
03/09/2024,20,6.2TD,P1,120.94,0.94,0.81,0.926,0.150,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240903
03/09/2024,21,6.2TD,P1,131.00,1.65,0.81,0.926,0.144,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240903
03/09/2024,22,6.2TD,P1,130.01,0.63,0.80,0.926,0.142,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240903
03/09/2024,23,6.2TD,P2,126.57,0.50,0.86,0.154,0.151,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240903
03/09/2024,24,6.2TD,P2,115.19,0.13,0.92,0.154,0.154,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240903
