Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
08/10/2024,1,6.2TD,P6,33.10,2.70,1.03,0.000,0.181,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241008
08/10/2024,2,6.2TD,P6,24.35,3.28,1.08,0.000,0.187,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241008
08/10/2024,3,6.2TD,P6,19.57,3.65,1.12,0.000,0.191,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241008
08/10/2024,4,6.2TD,P6,7.00,4.22,0.00,0.000,0.192,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241008
08/10/2024,5,6.2TD,P6,4.90,4.34,0.00,0.000,0.191,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241008
08/10/2024,6,6.2TD,P6,21.54,3.58,0.00,0.000,0.186,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241008
08/10/2024,7,6.2TD,P6,39.58,2.27,1.02,0.000,0.173,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241008
08/10/2024,8,6.2TD,P6,52.98,2.36,0.89,0.000,0.163,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241008
08/10/2024,9,6.2TD,P2,77.71,3.39,0.87,0.154,0.188,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241008
08/10/2024,10,6.2TD,P2,48.38,3.16,0.84,0.154,0.150,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241008
08/10/2024,11,6.2TD,P1,30.10,2.36,0.84,0.926,0.150,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241008
08/10/2024,12,6.2TD,P1,3.32,0.67,0.84,0.926,0.151,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241008
08/10/2024,13,6.2TD,P1,3.32,0.46,0.84,0.926,0.147,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241008
08/10/2024,14,6.2TD,P1,0.97,0.35,0.84,0.926,0.148,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241008
08/10/2024,15,6.2TD,P2,0.01,0.30,0.85,0.154,0.172,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241008
08/10/2024,16,6.2TD,P2,0.00,0.52,0.86,0.154,0.181,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241008
08/10/2024,17,6.2TD,P2,0.51,0.62,0.87,0.154,0.188,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241008
08/10/2024,18,6.2TD,P2,5.00,6.49,0.85,0.154,0.188,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241008
08/10/2024,19,6.2TD,P1,48.38,10.70,0.86,0.926,0.167,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241008
08/10/2024,20,6.2TD,P1,79.90,7.92,0.85,0.926,0.168,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241008
08/10/2024,21,6.2TD,P1,90.00,3.02,0.80,0.926,0.167,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241008
08/10/2024,22,6.2TD,P1,83.19,3.60,0.82,0.926,0.169,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241008
08/10/2024,23,6.2TD,P2,46.08,2.78,0.89,0.154,0.200,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241008
08/10/2024,24,6.2TD,P2,33.10,4.12,0.98,0.154,0.210,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241008
