Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
18/12/2024,1,6.2TD,P6,116.90,4.00,0.95,0.000,0.243,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241218
18/12/2024,2,6.2TD,P6,104.15,4.38,1.03,0.000,0.252,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241218
18/12/2024,3,6.2TD,P6,91.89,6.01,1.08,0.000,0.260,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241218
18/12/2024,4,6.2TD,P6,91.68,6.17,0.00,0.000,0.263,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241218
18/12/2024,5,6.2TD,P6,91.89,6.49,0.00,0.000,0.265,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241218
18/12/2024,6,6.2TD,P6,98.96,4.57,0.00,0.000,0.256,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241218
18/12/2024,7,6.2TD,P6,119.41,3.69,0.97,0.000,0.231,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241218
18/12/2024,8,6.2TD,P6,129.05,1.58,0.82,0.000,0.209,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241218
18/12/2024,9,6.2TD,P2,146.54,1.94,0.76,0.154,0.195,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241218
18/12/2024,10,6.2TD,P2,134.12,2.27,0.74,0.154,0.189,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241218
18/12/2024,11,6.2TD,P1,119.41,5.28,0.75,0.926,0.181,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241218
18/12/2024,12,6.2TD,P1,98.00,5.54,0.75,0.926,0.178,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241218
18/12/2024,13,6.2TD,P1,90.80,4.45,0.76,0.926,0.177,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241218
18/12/2024,14,6.2TD,P1,90.46,4.13,0.77,0.926,0.176,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241218
18/12/2024,15,6.2TD,P2,90.00,4.73,0.77,0.154,0.176,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241218
18/12/2024,16,6.2TD,P2,101.15,5.09,0.78,0.154,0.182,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241218
18/12/2024,17,6.2TD,P2,120.44,6.90,0.78,0.154,0.186,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241218
18/12/2024,18,6.2TD,P2,132.55,2.64,0.76,0.154,0.195,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241218
18/12/2024,19,6.2TD,P1,136.14,1.11,0.74,0.926,0.205,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241218
18/12/2024,20,6.2TD,P1,135.15,1.00,0.72,0.926,0.207,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241218
18/12/2024,21,6.2TD,P1,135.01,0.99,0.71,0.926,0.211,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241218
18/12/2024,22,6.2TD,P1,129.95,1.11,0.73,0.926,0.216,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241218
18/12/2024,23,6.2TD,P2,122.03,1.87,0.79,0.154,0.221,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241218
18/12/2024,24,6.2TD,P2,97.00,5.04,0.88,0.154,0.230,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241218
