Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
24/10/2024,1,6.2TD,P6,74.90,0.98,1.09,0.000,0.186,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241024
24/10/2024,2,6.2TD,P6,65.15,2.30,1.14,0.000,0.191,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241024
24/10/2024,3,6.2TD,P6,62.08,2.40,1.19,0.000,0.197,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241024
24/10/2024,4,6.2TD,P6,62.08,2.29,0.00,0.000,0.200,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241024
24/10/2024,5,6.2TD,P6,62.29,2.62,0.00,0.000,0.202,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241024
24/10/2024,6,6.2TD,P6,66.30,2.38,0.00,0.000,0.195,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241024
24/10/2024,7,6.2TD,P6,71.76,1.14,1.06,0.000,0.178,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241024
24/10/2024,8,6.2TD,P6,90.01,0.81,0.94,0.000,0.161,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241024
24/10/2024,9,6.2TD,P2,120.01,1.02,0.89,0.154,0.187,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241024
24/10/2024,10,6.2TD,P2,98.15,2.54,0.88,0.154,0.157,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241024
24/10/2024,11,6.2TD,P1,69.17,2.29,0.86,0.926,0.162,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241024
24/10/2024,12,6.2TD,P1,60.00,3.03,0.87,0.926,0.161,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241024
24/10/2024,13,6.2TD,P1,50.24,1.98,0.87,0.926,0.157,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241024
24/10/2024,14,6.2TD,P1,43.54,1.88,0.86,0.926,0.154,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241024
24/10/2024,15,6.2TD,P2,30.01,1.68,0.87,0.154,0.178,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241024
24/10/2024,16,6.2TD,P2,24.55,1.17,0.88,0.154,0.184,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241024
24/10/2024,17,6.2TD,P2,47.44,2.14,0.91,0.154,0.190,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241024
24/10/2024,18,6.2TD,P2,60.40,3.19,0.90,0.154,0.192,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241024
24/10/2024,19,6.2TD,P1,79.36,1.70,0.91,0.926,0.166,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241024
24/10/2024,20,6.2TD,P1,110.16,1.68,0.88,0.926,0.161,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241024
24/10/2024,21,6.2TD,P1,101.35,0.34,0.84,0.926,0.159,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241024
24/10/2024,22,6.2TD,P1,92.98,0.70,0.87,0.926,0.168,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241024
24/10/2024,23,6.2TD,P2,75.72,1.56,0.96,0.154,0.199,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241024
24/10/2024,24,6.2TD,P2,67.00,2.75,1.05,0.154,0.206,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241024
