Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
17/08/2024,1,6.2TD,P6,114.02,0.45,1.00,0.000,0.181,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,2,6.2TD,P6,112.94,0.93,1.06,0.000,0.179,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,3,6.2TD,P6,113.37,1.08,1.12,0.000,0.179,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,4,6.2TD,P6,110.68,1.05,0.00,0.000,0.179,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,5,6.2TD,P6,105.50,1.40,0.00,0.000,0.178,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,6,6.2TD,P6,101.50,1.67,0.00,0.000,0.176,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,7,6.2TD,P6,100.64,1.15,0.00,0.000,0.174,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,8,6.2TD,P6,101.10,1.20,0.00,0.000,0.171,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,9,6.2TD,P6,90.00,12.62,0.00,0.000,0.167,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,10,6.2TD,P6,71.74,6.37,0.00,0.000,0.161,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,11,6.2TD,P6,68.01,4.75,0.00,0.000,0.160,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,12,6.2TD,P6,52.66,1.77,0.00,0.000,0.159,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,13,6.2TD,P6,43.31,1.28,0.00,0.000,0.160,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,14,6.2TD,P6,37.37,1.03,0.00,0.000,0.158,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,15,6.2TD,P6,34.72,1.13,0.00,0.000,0.156,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,16,6.2TD,P6,37.57,1.23,0.00,0.000,0.158,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,17,6.2TD,P6,47.81,1.61,0.00,0.000,0.159,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,18,6.2TD,P6,56.10,1.74,0.00,0.000,0.163,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,19,6.2TD,P6,68.54,4.43,0.00,0.000,0.170,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,20,6.2TD,P6,87.41,6.49,0.00,0.000,0.178,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,21,6.2TD,P6,103.92,4.48,0.00,0.000,0.188,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,22,6.2TD,P6,120.00,0.46,0.89,0.000,0.192,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,23,6.2TD,P6,113.20,0.57,0.92,0.000,0.192,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
17/08/2024,24,6.2TD,P6,105.02,0.53,0.98,0.000,0.191,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240817
