Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
28/10/2024,1,6.2TD,P6,60.61,3.16,1.19,0.000,0.187,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241028
28/10/2024,2,6.2TD,P6,50.31,2.86,0.00,0.000,0.198,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241028
28/10/2024,3,6.2TD,P6,49.00,2.85,0.00,0.000,0.201,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241028
28/10/2024,4,6.2TD,P6,43.10,2.81,0.00,0.000,0.202,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241028
28/10/2024,5,6.2TD,P6,43.92,2.84,0.00,0.000,0.200,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241028
28/10/2024,6,6.2TD,P6,49.20,2.94,0.00,0.000,0.191,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241028
28/10/2024,7,6.2TD,P6,65.78,3.01,1.09,0.000,0.170,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241028
28/10/2024,8,6.2TD,P6,86.74,2.59,0.96,0.000,0.158,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241028
28/10/2024,9,6.2TD,P2,98.94,3.24,0.90,0.154,0.185,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241028
28/10/2024,10,6.2TD,P2,68.39,3.58,0.87,0.154,0.149,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241028
28/10/2024,11,6.2TD,P1,60.61,3.06,0.86,0.926,0.145,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241028
28/10/2024,12,6.2TD,P1,51.99,2.59,0.87,0.926,0.143,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241028
28/10/2024,13,6.2TD,P1,50.24,1.75,0.87,0.926,0.141,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241028
28/10/2024,14,6.2TD,P1,51.97,1.73,0.86,0.926,0.139,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241028
28/10/2024,15,6.2TD,P2,51.97,2.12,0.87,0.154,0.160,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241028
28/10/2024,16,6.2TD,P2,52.51,3.24,0.89,0.154,0.171,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241028
28/10/2024,17,6.2TD,P2,84.89,5.09,0.90,0.154,0.182,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241028
28/10/2024,18,6.2TD,P2,115.57,2.26,0.90,0.154,0.188,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241028
28/10/2024,19,6.2TD,P1,149.48,4.56,0.89,0.926,0.168,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241028
28/10/2024,20,6.2TD,P1,133.66,2.04,0.85,0.926,0.166,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241028
28/10/2024,21,6.2TD,P1,115.73,0.80,0.83,0.926,0.160,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241028
28/10/2024,22,6.2TD,P1,110.49,0.76,0.86,0.926,0.161,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241028
28/10/2024,23,6.2TD,P2,98.61,1.25,0.96,0.154,0.186,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241028
28/10/2024,24,6.2TD,P2,81.25,3.60,1.05,0.154,0.196,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241028
