Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
06/10/2024,1,6.2TD,P6,47.40,2.69,1.13,0.000,0.190,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,2,6.2TD,P6,30.83,3.14,0.00,0.000,0.198,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,3,6.2TD,P6,25.00,3.56,0.00,0.000,0.206,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,4,6.2TD,P6,10.39,4.23,0.00,0.000,0.201,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,5,6.2TD,P6,5.00,4.78,0.00,0.000,0.205,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,6,6.2TD,P6,4.69,4.83,0.00,0.000,0.202,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,7,6.2TD,P6,10.39,4.26,0.00,0.000,0.198,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,8,6.2TD,P6,10.39,5.10,0.00,0.000,0.188,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,9,6.2TD,P6,10.39,5.03,0.00,0.000,0.182,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,10,6.2TD,P6,10.39,14.79,0.00,0.000,0.167,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,11,6.2TD,P6,3.32,5.92,0.00,0.000,0.152,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,12,6.2TD,P6,0.01,1.35,0.00,0.000,0.151,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,13,6.2TD,P6,0.00,0.61,0.00,0.000,0.147,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,14,6.2TD,P6,-0.01,0.68,0.00,0.000,0.144,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,15,6.2TD,P6,-0.01,0.61,0.00,0.000,0.145,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,16,6.2TD,P6,-0.01,0.72,0.00,0.000,0.155,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,17,6.2TD,P6,0.00,0.64,0.00,0.000,0.170,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,18,6.2TD,P6,0.44,2.68,0.00,0.000,0.179,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,19,6.2TD,P6,17.76,6.64,0.00,0.000,0.178,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,20,6.2TD,P6,59.03,4.56,0.00,0.000,0.174,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,21,6.2TD,P6,78.05,1.77,0.00,0.000,0.167,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,22,6.2TD,P6,85.23,1.13,0.97,0.000,0.165,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,23,6.2TD,P6,63.50,2.50,1.01,0.000,0.168,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
06/10/2024,24,6.2TD,P6,54.90,3.78,1.09,0.000,0.178,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241006
