Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
08/11/2024,1,6.2TD,P6,103.48,1.84,1.08,0.000,0.217,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241108
08/11/2024,2,6.2TD,P6,104.00,0.73,1.14,0.000,0.223,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241108
08/11/2024,3,6.2TD,P6,98.78,0.61,1.18,0.000,0.230,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241108
08/11/2024,4,6.2TD,P6,98.78,0.97,0.00,0.000,0.232,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241108
08/11/2024,5,6.2TD,P6,98.80,0.70,0.00,0.000,0.232,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241108
08/11/2024,6,6.2TD,P6,103.23,0.68,0.00,0.000,0.223,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241108
08/11/2024,7,6.2TD,P6,112.09,1.89,1.06,0.000,0.203,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241108
08/11/2024,8,6.2TD,P6,126.56,7.13,0.95,0.000,0.189,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20241108
08/11/2024,9,6.2TD,P2,130.37,7.01,0.89,0.154,0.184,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241108
08/11/2024,10,6.2TD,P2,124.10,1.85,0.89,0.154,0.165,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241108
08/11/2024,11,6.2TD,P1,117.34,3.39,0.89,0.926,0.159,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241108
08/11/2024,12,6.2TD,P1,110.94,4.77,0.90,0.926,0.159,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241108
08/11/2024,13,6.2TD,P1,105.59,4.34,0.90,0.926,0.158,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241108
08/11/2024,14,6.2TD,P1,106.81,4.34,0.90,0.926,0.158,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241108
08/11/2024,15,6.2TD,P2,112.53,4.37,0.91,0.154,0.163,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241108
08/11/2024,16,6.2TD,P2,122.80,11.41,0.92,0.154,0.171,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241108
08/11/2024,17,6.2TD,P2,127.74,13.18,0.93,0.154,0.175,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241108
08/11/2024,18,6.2TD,P2,129.88,26.09,0.93,0.154,0.185,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241108
08/11/2024,19,6.2TD,P1,133.58,2.32,0.88,0.926,0.189,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241108
08/11/2024,20,6.2TD,P1,134.28,1.22,0.87,0.926,0.192,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241108
08/11/2024,21,6.2TD,P1,134.28,1.50,0.87,0.926,0.195,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241108
08/11/2024,22,6.2TD,P1,132.28,1.55,0.90,0.926,0.198,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20241108
08/11/2024,23,6.2TD,P2,127.74,1.47,0.98,0.154,0.209,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241108
08/11/2024,24,6.2TD,P2,123.76,2.17,1.06,0.154,0.218,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20241108
