Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
13/08/2024,1,6.2TD,P6,116.10,0.46,0.96,0.000,0.167,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240813
13/08/2024,2,6.2TD,P6,115.00,0.65,1.02,0.000,0.167,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240813
13/08/2024,3,6.2TD,P6,110.00,0.69,1.08,0.000,0.167,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240813
13/08/2024,4,6.2TD,P6,115.92,0.72,0.00,0.000,0.169,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240813
13/08/2024,5,6.2TD,P6,113.20,0.73,0.00,0.000,0.169,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240813
13/08/2024,6,6.2TD,P6,110.00,0.55,0.00,0.000,0.165,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240813
13/08/2024,7,6.2TD,P6,116.10,0.51,1.06,0.000,0.162,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240813
13/08/2024,8,6.2TD,P6,125.50,0.52,1.01,0.000,0.161,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240813
13/08/2024,9,6.2TD,P2,117.89,1.23,0.95,0.154,0.152,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240813
13/08/2024,10,6.2TD,P2,104.88,2.07,0.89,0.154,0.141,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240813
13/08/2024,11,6.2TD,P1,106.51,5.01,0.86,0.926,0.147,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240813
13/08/2024,12,6.2TD,P1,96.00,2.14,0.82,0.926,0.150,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240813
13/08/2024,13,6.2TD,P1,90.00,2.40,0.80,0.926,0.151,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240813
13/08/2024,14,6.2TD,P1,88.00,2.39,0.78,0.926,0.147,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240813
13/08/2024,15,6.2TD,P2,85.00,2.28,0.76,0.154,0.149,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240813
13/08/2024,16,6.2TD,P2,81.39,2.09,0.77,0.154,0.147,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240813
13/08/2024,17,6.2TD,P2,80.05,2.22,0.78,0.154,0.148,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240813
13/08/2024,18,6.2TD,P2,84.50,2.68,0.78,0.154,0.152,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240813
13/08/2024,19,6.2TD,P1,96.02,4.71,0.79,0.926,0.152,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240813
13/08/2024,20,6.2TD,P1,101.51,1.57,0.81,0.926,0.156,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240813
13/08/2024,21,6.2TD,P1,118.71,0.89,0.82,0.926,0.158,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240813
13/08/2024,22,6.2TD,P1,130.48,0.31,0.82,0.926,0.158,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240813
13/08/2024,23,6.2TD,P2,129.20,0.48,0.85,0.154,0.163,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240813
13/08/2024,24,6.2TD,P2,120.96,0.36,0.91,0.154,0.160,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240813
