Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
21/05/2024,1,6.2TD,P6,72.43,0.83,1.07,0.000,0.183,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240521
21/05/2024,2,6.2TD,P6,70.50,0.87,1.13,0.000,0.188,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240521
21/05/2024,3,6.2TD,P6,69.13,0.90,1.17,0.000,0.191,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240521
21/05/2024,4,6.2TD,P6,69.00,0.92,0.00,0.000,0.191,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240521
21/05/2024,5,6.2TD,P6,68.01,0.92,0.00,0.000,0.191,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240521
21/05/2024,6,6.2TD,P6,68.84,0.90,0.00,0.000,0.187,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240521
21/05/2024,7,6.2TD,P6,67.00,0.62,1.06,0.000,0.173,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240521
21/05/2024,8,6.2TD,P6,67.92,3.71,0.96,0.000,0.161,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240521
21/05/2024,9,6.2TD,P2,72.87,2.79,0.91,0.154,0.176,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240521
21/05/2024,10,6.2TD,P2,41.70,5.83,0.90,0.154,0.146,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240521
21/05/2024,11,6.2TD,P1,30.00,1.73,0.89,0.926,0.146,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240521
21/05/2024,12,6.2TD,P1,18.82,1.43,0.89,0.926,0.146,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240521
21/05/2024,13,6.2TD,P1,20.43,1.53,0.90,0.926,0.146,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240521
21/05/2024,14,6.2TD,P1,14.70,1.26,0.90,0.926,0.141,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240521
21/05/2024,15,6.2TD,P2,9.66,1.06,0.90,0.154,0.163,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240521
21/05/2024,16,6.2TD,P2,8.21,2.39,0.93,0.154,0.169,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240521
21/05/2024,17,6.2TD,P2,7.44,3.15,0.94,0.154,0.174,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240521
21/05/2024,18,6.2TD,P2,14.70,1.32,0.94,0.154,0.177,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240521
21/05/2024,19,6.2TD,P1,19.44,4.52,0.94,0.926,0.154,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240521
21/05/2024,20,6.2TD,P1,34.79,8.01,0.91,0.926,0.158,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240521
21/05/2024,21,6.2TD,P1,62.73,5.25,0.90,0.926,0.156,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240521
21/05/2024,22,6.2TD,P1,68.01,0.29,0.87,0.926,0.160,0.000,33.081,43.893,2.0TD,1,C2_pvpcdata_20240521
21/05/2024,23,6.2TD,P2,66.77,0.47,0.92,0.154,0.187,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240521
21/05/2024,24,6.2TD,P2,63.08,0.52,1.02,0.154,0.192,0.000,19.184,8.779,2.0TD,2,C2_pvpcdata_20240521
