Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
28/04/2024,1,6.2TD,P6,56.39,0.98,1.17,0.000,0.212,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,2,6.2TD,P6,38.96,2.03,0.00,0.000,0.217,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,3,6.2TD,P6,39.60,2.80,0.00,0.000,0.222,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,4,6.2TD,P6,35.01,3.22,0.00,0.000,0.224,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,5,6.2TD,P6,35.01,3.28,0.00,0.000,0.224,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,6,6.2TD,P6,35.50,3.26,0.00,0.000,0.223,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,7,6.2TD,P6,35.76,3.34,0.00,0.000,0.218,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,8,6.2TD,P6,36.73,3.51,0.00,0.000,0.212,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,9,6.2TD,P6,35.00,4.10,0.00,0.000,0.192,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,10,6.2TD,P6,14.98,9.57,0.00,0.000,0.172,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,11,6.2TD,P6,0.44,3.89,0.00,0.000,0.159,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,12,6.2TD,P6,0.00,2.80,0.00,0.000,0.152,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,13,6.2TD,P6,0.00,2.82,0.00,0.000,0.150,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,14,6.2TD,P6,0.00,2.94,0.00,0.000,0.145,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,15,6.2TD,P6,0.00,2.94,0.00,0.000,0.146,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,16,6.2TD,P6,0.00,3.07,0.00,0.000,0.153,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,17,6.2TD,P6,-0.01,3.28,0.00,0.000,0.161,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,18,6.2TD,P6,0.00,3.49,0.00,0.000,0.169,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,19,6.2TD,P6,20.66,4.70,0.00,0.000,0.178,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,20,6.2TD,P6,35.01,2.72,0.00,0.000,0.186,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,21,6.2TD,P6,58.88,0.90,0.00,0.000,0.188,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,22,6.2TD,P6,78.56,0.46,0.96,0.000,0.184,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,23,6.2TD,P6,72.21,0.57,1.01,0.000,0.187,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
28/04/2024,24,6.2TD,P6,60.65,0.63,1.09,0.000,0.194,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240428
